,CD69,CD99,Population,Batch
0,2.7295733971678673,14.64212737500938,pop_1,ref
1,2.1087414719745574,15.071990130112267,pop_1,ref
2,3.222132204026148,15.074050990350107,pop_1,ref
3,1.7585339486101121,14.243902288537635,pop_1,ref
4,3.1253491220194856,15.46849422304586,pop_1,ref
5,3.4403677630006193,15.14581440392243,pop_1,ref
6,3.452001960336912,14.241937285272343,pop_1,ref
7,4.268744754707405,15.913122896245405,pop_1,ref
8,3.541196913108018,15.739944377034726,pop_1,ref
9,4.020894494193725,15.127675205372583,pop_1,ref
10,2.14443906319962,14.001645592954812,pop_1,ref
11,3.4078363494396435,14.506746477313998,pop_1,ref
12,3.309221062924763,15.37937466841427,pop_1,ref
13,3.6091461103375613,15.846758400414371,pop_1,ref
14,3.47211892505081,15.287635599334406,pop_1,ref
15,2.794810883236738,15.96629446789471,pop_1,ref
16,3.343013958607927,14.67405883029729,pop_1,ref
17,2.8658415800803634,14.093712259908006,pop_1,ref
18,3.487605169303243,14.24820095849436,pop_1,ref
19,3.777765625361556,15.90227160302997,pop_1,ref
20,2.4787613175330643,14.587144134986763,pop_1,ref
21,3.1683597449622503,14.97792504697102,pop_1,ref
22,4.162734137942138,15.707464686140503,pop_1,ref
23,2.957042138958757,15.625624938966665,pop_1,ref
24,3.3401989615828134,14.225154462126142,pop_1,ref
25,2.916805009981551,14.673257591444107,pop_1,ref
26,3.2346940375031874,15.621552090194424,pop_1,ref
27,2.0534420168693472,14.642435280077368,pop_1,ref
28,3.628549303981946,15.43298622630157,pop_1,ref
29,2.481996154049842,15.098985066446874,pop_1,ref
30,3.3617669209646452,15.244345874101903,pop_1,ref
31,4.077981423020019,15.321433926164872,pop_1,ref
32,2.0572327942890136,14.914994303124141,pop_1,ref
33,2.7281982333311015,15.362888166180698,pop_1,ref
34,2.975286074188064,14.567276516563846,pop_1,ref
35,2.2850634825778022,15.257803217509284,pop_1,ref
36,2.527874608735462,15.517442144516425,pop_1,ref
37,4.396963890757475,16.916780676441917,pop_1,ref
38,3.039501026605891,14.850392173685021,pop_1,ref
39,3.5704898669251675,14.313440911587664,pop_1,ref
40,3.026003789989428,15.251861611400804,pop_1,ref
41,2.229189168961338,13.901406302325869,pop_1,ref
42,3.6700057607395857,15.352666742787683,pop_1,ref
43,2.317088637640743,14.525009095607219,pop_1,ref
44,3.1727403577811177,15.497359185266385,pop_1,ref
45,2.632290325458943,15.244915208298176,pop_1,ref
46,3.547633231630983,15.340401494377195,pop_1,ref
47,3.710795033184009,14.785186908023872,pop_1,ref
48,2.7301641670948,14.895270018151528,pop_1,ref
49,3.070948931182178,14.922583000935145,pop_1,ref
50,4.028178786391914,15.762139324984872,pop_1,ref
51,3.4704540404576436,14.96304934331356,pop_1,ref
52,2.9742339407735052,15.229778140388806,pop_1,ref
53,1.751864940587558,13.862277644083393,pop_1,ref
54,2.860652696241766,14.81356896497814,pop_1,ref
55,4.2219218934246125,16.205153046221103,pop_1,ref
56,2.1829615201374297,15.740852620917067,pop_1,ref
57,3.026302113908683,15.21701739873763,pop_1,ref
58,3.3915220958061267,14.652385205747393,pop_1,ref
59,2.039433285704875,14.514997491946485,pop_1,ref
60,2.7872810323507338,14.212133905803777,pop_1,ref
61,2.556099207618229,13.669490747867963,pop_1,ref
62,1.936156095403909,15.321521873621718,pop_1,ref
63,3.8055492444419032,15.44739111257652,pop_1,ref
64,3.096187924220646,14.777761961530581,pop_1,ref
65,3.9590441489457175,16.002407181654476,pop_1,ref
66,3.5220967841037454,15.821622936788241,pop_1,ref
67,3.0913626488556614,16.071627237598328,pop_1,ref
68,3.5972176715113595,15.393528083931926,pop_1,ref
69,2.874720008525662,14.096253062414158,pop_1,ref
70,2.442786872991771,15.269496539095428,pop_1,ref
71,3.9582753117348957,16.075048016964374,pop_1,ref
72,2.5884015889342074,15.082869789260222,pop_1,ref
73,4.1998813648256315,15.36475127507003,pop_1,ref
74,2.5759803696695043,14.763809969185047,pop_1,ref
75,2.7320178677341045,14.951130954393628,pop_1,ref
